Rank,Team,Won,Lost,Tied,PF,PA,Rating
361,SACRED HEART,4,6,0,165,215,99.069
362,HILLSDALE,5,5,0,240,215,99.041
363,WHITWORTH,9,0,0,348,142,98.962
364,EDINBORO,3,7,0,199,258,98.954
365,MSU MOORHEAD,5,5,0,258,293,98.830
366,SPRINGFIELD,9,0,0,431,128,98.795
367,DICKINSON,5,4,0,189,205,98.740
368,MINOT ST.,4,6,0,225,237,98.729
369,WEST CHESTER,4,6,0,265,247,98.556
370,LOCK HAVEN,4,6,0,258,266,98.492
371,MISSOURI WESTERN,3,7,0,265,295,98.476
372,SHEPHERD,5,5,0,220,202,98.402
373,ARKANSAS TECH,5,5,0,201,237,98.123
374,GANNON,3,6,0,148,274,98.088
375,COLORADO MESA,7,3,0,233,145,98.034
376,WASHBURN,2,8,0,248,299,98.024
377,TEX. PERMIAN BASIN,6,4,0,305,180,97.890
378,WIS.-STOUT,6,3,0,300,248,97.860
379,FAYETTEVILLE ST.,4,5,0,223,230,97.782
380,BOWDOIN,3,6,0,186,233,97.709
381,JOHN CARROLL,7,2,0,361,148,97.527
382,UNC PEMBROKE,5,5,0,415,267,97.501
383,MORAVIAN,6,3,0,243,192,97.473
384,VMI,1,9,0,112,320,97.436
385,WESTERN ORE.,6,4,0,251,246,97.348
386,WAYNESBURG,4,5,0,169,284,97.345
387,NEWBERRY,3,6,0,191,266,97.340
388,UPPER IOWA,6,4,0,233,222,97.299
389,GLENVILLE ST.,6,4,0,202,230,97.292
390,ARK.-PINE BLUFF,3,7,0,250,367,97.212
391,TEX. A&M-COMMERCE,1,7,0,162,255,97.165
392,AURORA,9,1,0,492,137,97.164
393,MCKENDREE,5,5,0,254,280,97.146
394,TRINITY (TX),7,2,0,284,168,97.068
395,WASH. & LEE,6,3,0,271,168,96.993
396,COE,9,1,0,386,121,96.989
397,STONEHILL,1,8,0,144,313,96.978
398,EAST CENTRAL,4,6,0,173,256,96.949
399,BETHUNE-COOKMAN,2,8,0,190,351,96.941
400,DELAWARE ST.,1,9,0,183,356,96.880
401,QUINCY,5,3,0,217,178,96.867
402,MONTANA WESTERN,1,0,0,56,39,96.853
403,KING'S (PA),8,1,0,292,175,96.759
404,WASHU,7,2,0,353,194,96.739
405,EAST TEX. BAPTIST,5,3,0,311,205,96.708
406,GENEVA,4,5,0,150,326,96.614
407,SETON HILL,3,7,0,204,264,96.602
408,WABASH,8,1,0,338,132,96.594
409,WALSH,5,5,0,295,250,96.587
410,WILKES,6,3,0,350,234,96.554
411,ST. ANSELM,5,4,0,220,171,96.546
412,ALMA,7,2,0,402,218,96.542
413,CENTRE,7,2,0,269,190,96.492
414,ARK.-MONTICELLO,4,6,0,183,315,96.448
415,TEX. A&M-KINGSVILLE,6,4,0,219,195,96.417
416,MERCYHURST,3,7,0,303,289,96.377
417,BOWIE ST.,4,6,0,294,228,96.335
418,BATES,2,7,0,173,236,96.264
419,SHAW,6,4,0,268,270,96.200
420,FAIRMONT ST.,6,4,0,340,323,96.184
421,OHIO DOMINICAN,4,6,0,165,194,96.139
422,SOUTH DAKOTA MINES,5,5,0,267,282,96.137
423,THOMAS MORE,4,6,0,214,228,95.922
424,FORT VALLEY ST.,6,4,0,339,216,95.905
425,FRANKLIN PIERCE,4,5,0,291,247,95.732
426,CLARK ATLANTA,6,2,1,292,289,95.676
427,FLA. MEMORIAL,0,0,1,28,28,95.672
428,FROSTBURG ST.,6,4,0,322,269,95.668
429,WHEELING,5,5,0,327,297,95.641
430,SHENANDOAH,7,2,0,333,157,95.604
431,WEST VIRGINIA ST.,6,4,0,348,348,95.461
432,DELAWARE VALLEY,7,2,0,231,87,95.360
433,VALPARAISO,3,6,0,139,258,95.351
434,AMHERST,2,7,0,109,238,95.273
435,CONCORDIA-M'HEAD,6,3,0,277,138,95.234
436,WAYNE ST. (MI),1,9,0,193,328,95.144
437,CENTRAL (IA),7,2,0,353,95,95.121
438,TEXAS LUTHERAN,8,1,0,342,149,95.118
439,BLACK HILLS ST.,5,5,0,231,220,95.065
440,ALBANY ST. (GA),6,4,0,345,245,95.032
441,ALFRED,6,3,0,317,201,95.005
442,RENSSELAER,4,5,0,227,186,94.988
443,BARTON,3,7,0,192,315,94.747
444,SOUTHWESTERN OKLA.,2,8,0,159,335,94.739
445,WEST TEX. A&M,5,5,0,220,245,94.679
446,OKLA. BAPTIST,2,8,0,178,385,94.635
447,SUNY MORRISVILLE,5,4,0,144,166,94.421
448,SOUTHERN NAZARENE,2,8,0,158,329,94.417
449,LIVINGSTONE,5,4,0,180,204,94.404
450,WIS.-EAU CLAIRE,2,7,0,223,349,94.362
451,MO. SOUTHERN ST.,2,8,0,190,390,94.334
452,BRIDGEWATER (VA),5,4,0,285,198,94.310
453,CLARION,3,7,0,208,260,94.215
454,UVA WISE,3,6,0,161,297,94.157
455,BALDWIN WALLACE,6,3,0,275,211,93.967
456,CATAWBA,2,7,0,260,329,93.961
457,NORTHWESTERN OKLA.,2,8,0,119,400,93.764
458,GEORGETOWN (KY),0,1,0,16,24,93.576
459,AMERICAN INT'L,4,6,0,173,341,93.519
460,HAMILTON,1,8,0,99,233,93.451
461,MONTCLAIR ST.,3,6,0,147,211,93.423
462,CONCORDIA-ST. PAUL,2,8,0,187,294,93.239
463,TUSKEGEE,5,5,0,248,219,93.218
464,UTICA,4,5,0,274,205,93.166
465,MARYVILLE (TN),7,1,0,310,85,93.102
466,MISSOURI S&T,4,6,0,318,334,93.024
467,MIDWESTERN ST.,3,7,0,199,276,92.973
468,SOUTHERN CONN. ST.,3,6,0,205,257,92.969
469,NELSON,1,0,0,29,27,92.958
470,MCMURRY,6,3,0,238,107,92.836
471,MARIST,1,9,0,167,350,92.692
472,KEAN,2,7,0,128,246,92.690
473,CHAPMAN,7,2,0,264,168,92.660
474,HAMPDEN-SYDNEY,5,4,0,280,251,92.658
