Rank|Team|W|L|T|PF|PA|Power|SoS
488|MUHLENBERG|2|0|0|54|38|88.414|81.002
489|BARTON|0|4|0|63|156|88.316|100.207
490|HAMPDEN-SYDNEY|3|0|0|118|47|88.201|76.896
491|HAMLINE|1|1|0|28|80|88.070|95.263
492|BETHEL (TN)|0|1|0|23|30|88.055|94.658
493|WASH. & LEE|1|2|0|77|73|88.032|85.479
494|CONCORD|1|2|0|92|105|88.006|91.855
495|EDINBORO|1|2|0|47|82|87.998|93.923
496|CENTRE|1|2|0|43|64|87.961|90.995
497|SHIPPENSBURG|0|3|0|31|96|87.922|99.014
498|COAST GUARD|2|1|0|175|140|87.912|85.114
499|LANE|0|3|0|43|105|87.886|99.629
500|PACIFIC LUTHERAN|1|2|0|65|79|87.829|91.521
501|CORNELL|0|1|0|10|13|87.765|94.138
502|MILLERSVILLE|0|3|0|86|156|87.610|96.687
503|NORTHERN MICH.|0|4|0|78|122|87.579|98.853
504|NORTHEASTERN ST.|1|2|0|73|97|87.568|92.343
505|MARTIN LUTHER|2|1|0|73|56|87.471|84.734
506|SAINT ANSELM|1|2|0|48|71|87.266|94.523
507|RANDOLPH-MACON|2|1|0|75|47|87.153|83.925
508|ILLINOIS COL.|2|1|0|77|58|87.073|83.215
509|SOUTHERN ORE.|0|1|0|7|27|87.065|99.223
510|WEST VA. WESLEYAN|0|4|0|50|175|87.059|102.976
511|MINOT ST.|0|4|0|69|123|86.928|98.636
512|ST. NORBERT|1|2|0|97|124|86.837|90.714
513|ERSKINE|0|3|0|55|115|86.770|105.811
514|UTICA|2|1|0|107|65|86.678|83.775
515|MT. ST. JOSEPH|1|2|0|89|93|86.656|88.899
516|WESTCONN|2|0|0|76|41|86.643|74.675
517|FLA. MEMORIAL|0|1|0|12|17|86.580|93.420
518|ITHACA|2|1|0|124|59|86.570|73.645
519|ILL. WESLEYAN|1|1|0|60|33|86.523|79.190
520|FRANKLIN|1|2|0|68|93|86.358|89.332
521|WEST LIBERTY|0|4|0|52|129|86.296|97.030
522|HENDRIX|1|2|0|63|109|86.121|90.173
523|HOBART|1|1|0|30|31|85.714|85.904
524|MIDLAND|0|1|0|22|28|85.652|92.130
525|HANOVER|1|2|0|46|62|85.632|89.815
526|BLUFFTON|2|1|0|96|90|85.608|83.078
527|JOHN CARROLL|2|1|0|124|41|85.392|72.926
528|CHAPMAN|0|2|0|43|65|85.357|93.595
529|EAST STROUDSBURG|2|1|0|114|63|85.199|81.902
530|THOMAS MORE|0|3|0|9|97|85.173|104.290
531|SUNY BROCKPORT|2|1|0|79|40|85.130|73.303
532|WHITWORTH|1|2|0|50|60|85.076|87.137
533|ENDICOTT|2|1|0|92|56|85.045|80.835
534|ARK.-MONTICELLO|0|3|0|44|130|84.977|99.335
535|SAGINAW VALLEY|1|3|0|112|129|84.951|89.098
536|AMERICAN INT'L|0|3|0|31|83|84.914|96.523
537|UVA WISE|0|4|0|94|140|84.887|95.995
538|SPRINGFIELD|1|2|0|72|57|84.864|85.669
539|HUNTINGDON|1|2|0|108|134|84.801|89.004
540|RENSSELAER|2|1|0|70|74|84.771|82.236
541|TCNJ|2|0|0|44|27|84.660|77.019
542|SHAW|1|2|0|49|86|84.649|90.604
543|CORNELL COLLEGE|1|2|0|38|90|84.579|87.971
544|PUGET SOUND|0|3|0|91|162|84.395|92.630
545|GEORGE FOX|0|3|0|38|76|84.161|92.302
546|POMONA-PITZER|1|1|0|44|38|83.853|85.052
547|OTTERBEIN|0|2|0|59|112|83.787|93.376
548|MADONNA|1|0|0|45|28|83.461|76.568
549|SOUTHWEST MINN. ST.|1|2|0|24|98|83.377|89.144
550|NORTH PARK|1|1|0|52|41|83.369|82.846
551|ALMA|1|2|0|109|96|83.222|86.432
552|LORAS|0|3|0|40|116|83.182|92.330
553|MAYVILLE ST.|1|1|0|26|30|83.050|84.462
554|MONTCLAIR ST.|1|0|0|27|24|82.975|77.080
555|ROCHESTER (NY)|3|0|0|96|52|82.863|74.022
556|ROSE-HULMAN|0|3|0|27|92|82.846|93.270
557|WM. PATERSON|0|2|0|32|45|82.660|90.078
558|MUSKINGUM|1|1|0|83|82|82.655|82.513
559|URSINUS|3|0|0|118|38|82.546|71.543
560|DICKINSON|2|1|0|138|96|82.225|78.422
561|PLYMOUTH ST.|3|0|0|138|88|82.175|74.811
562|LEBANON VALLEY|2|1|0|82|65|82.141|76.852
563|STEVENSON|3|0|0|86|43|82.130|73.369
564|SEWANEE|2|1|0|84|32|82.084|75.374
565|KENYON|0|3|0|37|90|81.758|94.381
566|MCMURRY|0|3|0|84|103|81.442|88.009
567|LAKE FOREST|0|3|0|38|91|81.343|90.643
568|CROWN (MN)|1|2|0|58|93|81.157|85.507
569|NORTHWESTERN-ST. PAUL|0|3|0|23|138|80.939|95.644
570|ROANOKE|2|0|0|55|29|80.909|72.249
571|WASH. & JEFF.|0|2|0|62|87|80.840|87.439
572|CURRY|1|1|0|59|62|80.793|81.109
573|CATHOLIC|1|2|0|37|85|80.601|84.753
574|NICHOLS|0|3|0|97|194|80.488|89.991
575|RHODES|1|1|0|31|66|80.434|85.392
576|LINCOLN (PA)|0|4|0|58|187|80.324|100.070
577|UNION (NY)|1|2|0|51|70|80.224|83.846
578|OHIO NORTHERN|1|1|0|53|40|80.181|78.656
579|MISERICORDIA|2|1|0|84|59|79.724|76.355
580|KALAMAZOO|3|0|0|91|17|79.674|66.846
581|PACE|0|4|0|47|122|79.470|90.897
582|CONCORDIA CHICAGO|2|1|0|80|89|79.001|76.876
583|DELAWARE VALLEY|2|1|0|93|73|78.967|76.537
584|LA. CHRISTIAN|0|2|0|26|106|78.961|95.370
585|JAMESTOWN|0|3|0|21|85|78.840|97.902
586|WILMINGTON (OH)|1|2|0|129|154|78.370|85.124
587|GANNON|0|4|0|69|185|78.240|91.652
588|POINT U.|0|2|0|14|85|77.855|90.620
589|ARIZONA CHRISTIAN|0|1|0|10|58|77.833|91.196
590|ALFRED|1|1|0|49|58|77.678|78.078
591|EASTERN|2|1|0|91|45|77.673|71.353
592|CHRIS. NEWPORT|1|0|0|49|14|77.497|66.689
593|LINCOLN (CA)|0|4|0|26|239|77.490|99.395
594|WESTMINSTER (MO)|2|0|0|50|20|77.307|67.903
595|SIMPSON (CA)|0|1|0|16|42|77.219|87.829
596|LUTHER|0|3|0|29|130|77.199|90.316
597|GUSTAVUS ADOLPHUS|0|2|0|17|64|77.192|90.313
598|LYCOMING|0|3|0|77|106|77.080|83.287
599|NEB. WESLEYAN|0|3|0|34|119|77.052|90.125
600|WILKES|1|2|0|40|59|76.958|80.899
601|MCDANIEL|1|2|0|38|79|76.915|82.052
602|OLIVET|0|3|0|73|120|76.568|83.977
603|WORCESTER ST.|0|2|0|59|95|76.546|85.573
604|BRIDGEWATER (VA)|0|3|0|47|115|76.203|86.082
605|ST. JOHN FISHER|2|1|0|70|51|76.120|72.283
606|RIPON|2|1|0|99|62|75.561|70.394
607|CENTENARY (LA)|0|1|0|14|56|75.501|89.257
608|CALVIN|3|0|0|162|50|75.433|60.678
609|CARTHAGE|1|1|0|51|102|75.410|95.407
610|LAWRENCE|0|3|0|21|131|75.344|89.022
611|GREENVILLE|1|1|0|38|56|75.101|78.490
612|WPI|1|2|0|27|80|74.899|82.772
613|WILLAMETTE|1|2|0|46|97|74.863|80.498
614|GREENSBORO|1|2|0|43|87|74.458|82.062
615|MACALESTER|1|1|0|27|66|74.414|80.962
616|SUNY MARITIME|2|1|0|76|55|74.367|71.622
617|BRIDGEWATER ST.|1|2|0|78|93|74.306|76.328
618|KEAN|1|1|0|31|56|74.093|75.963
619|NEW ENGLAND COL.|0|2|0|21|104|73.579|87.493
620|MINN.-MORRIS|0|3|0|36|96|73.484|89.842
621|AUSTIN|0|2|0|27|45|72.988|80.054
622|CENTRAL METHODIST|0|1|0|10|51|72.815|88.430
623|DENISON|1|1|0|62|77|72.769|74.282
624|WIDENER|1|2|0|54|58|72.233|75.721
625|ALBRIGHT|1|2|0|58|84|71.787|74.774
626|ALVERNIA|0|3|0|44|100|71.672|80.783
627|VTSU CASTLETON|2|0|0|46|20|71.654|62.319
628|WAYNESBURG|1|2|0|68|127|71.033|76.841
629|HEIDELBERG|1|2|0|115|100|70.954|72.841
630|SHENANDOAH|2|1|0|61|76|70.880|71.219
631|WOOSTER|1|2|0|70|107|70.752|77.511
632|MANCHESTER|0|3|0|28|113|70.307|84.302
633|JUNIATA|2|1|0|78|92|70.103|69.649
634|VIRGINIA-LYNCHBURG|0|2|0|17|90|70.040|85.451
635|SOUTHERN VA.|3|0|0|115|20|69.911|56.765
636|LAKELAND|0|2|0|68|80|69.906|75.256
637|N.C. WESLEYAN|2|1|0|113|61|69.785|66.284
638|KING'S (PA)|1|2|0|50|89|69.624|73.442
639|ST. LAWRENCE|1|2|0|55|66|69.586|70.807
640|HUSSON|0|2|0|19|53|69.483|79.882
641|SUNY MORRISVILLE|0|3|0|35|78|69.380|79.060
642|MORAVIAN|0|2|0|7|91|68.864|85.778
643|GRINNELL|1|2|0|59|50|68.483|67.712
644|MASS. MARITIME|1|1|0|42|21|67.701|63.509
645|LA VERNE|0|1|0|14|29|66.869|74.863
646|GETTYSBURG|0|3|0|65|135|66.689|78.081
647|WESTFIELD ST.|1|2|0|76|51|66.016|66.204
648|FRAMINGHAM ST.|2|0|0|45|35|65.928|59.742
649|AUGSBURG|1|0|0|30|23|65.766|59.864
650|GUILFORD|1|2|0|56|96|65.660|74.213
651|GALLAUDET|1|1|0|46|39|65.630|65.019
652|EUREKA|2|1|0|60|62|65.500|65.147
653|BETHANY (WV)|0|2|0|13|91|65.431|80.879
654|ALLEGHENY|1|2|0|88|75|65.343|63.716
655|GENEVA|1|2|0|101|108|65.308|67.495
656|ELMHURST|1|1|0|40|72|65.032|72.664
657|FDU-FLORHAM|0|3|0|34|85|64.400|75.962
658|BUENA VISTA|1|1|0|17|41|63.037|73.021
659|HIRAM|1|2|0|112|121|62.907|64.617
660|ANDERSON (IN)|1|2|0|7|81|62.120|70.638
661|ANNA MARIA|0|2|0|32|77|60.247|71.801
662|METHODIST|0|2|0|46|67|60.148|68.270
663|ST. SCHOLASTICA|1|1|0|64|57|59.864|59.505
664|SAINT VINCENT|1|2|0|77|90|59.373|61.146
665|KNOX|1|2|0|36|78|59.329|64.741
666|UMASS DARTMOUTH|1|1|0|35|38|59.236|59.808
667|CONCORDIA WISCONSIN|2|1|0|61|62|59.215|58.984
668|ROCKFORD|1|2|0|69|89|58.804|61.231
669|NORWICH|1|2|0|74|49|58.623|26.225
670|APPRENTICE|0|2|0|22|76|58.516|69.848
