Rnk Team                         WON LOST   PF   PA     RATE      SOS
--- ----                         --- ----  ---  ---  -------  -------
156 17   Humboldt St.              0    0    0    0      nan      nan (2321)
157 17   Ill. Benedictine          0    0    0    0      nan      nan (2320)
158 17   Illinois Col.             0    0    0    0      nan      nan (2319)
159 17   Juniata                   0    0    0    0      nan      nan (2318)
160 17   Kenyon                    0    0    0    0      nan      nan (2317)
161 17   Lafayette                 0    0    0    0      nan      nan (2316)
162 17   Maine                     0    0    0    0      nan      nan (2315)
163 17   Mesa, Colo.               0    0    0    0      nan      nan (2314)
164 17   Michigan St.              0    0    0    0      nan      nan (2313)
165 17   Midland Lutheran          0    0    0    0      nan      nan (2312)
166 17   Minn.-Duluth              0    0    0    0      nan      nan (2311)
167 17   Mississippi St.           0    0    0    0      nan      nan (2310)
168 17   Moravian                  0    0    0    0      nan      nan (2309)
169 17   N. Arizona                0    0    0    0      nan      nan (2308)
170 17   N. Carolina A&T           0    0    0    0      nan      nan (2307)
171 17   Navy                      0    0    0    0      nan      nan (2306)
172 17   North Carolina            0    0    0    0      nan      nan (2305)
173 17   North Texas               0    0    0    0      nan      nan (2304)
174 17   Olivet                    0    0    0    0      nan      nan (2303)
175 17   Penn                      0    0    0    0      nan      nan (2302)
176 17   Rensselaer                0    0    0    0      nan      nan (2301)
177 17   Saginaw Val. St.          0    0    0    0      nan      nan (2300)
178 17   Salisbury St.             0    0    0    0      nan      nan (2299)
179 17   San Diego St.             0    0    0    0      nan      nan (2298)
180 17   South Carolina            0    0    0    0      nan      nan (2297)
181 17   Southern Meth.            0    0    0    0      nan      nan (2296)
182 17   St. John Fisher           0    0    0    0      nan      nan (2295)
183 17   St. Xavier                0    0    0    0      nan      nan (2294)
184 17   Temple                    0    0    0    0      nan      nan (2293)
185 17   Towson St.                0    0    0    0      nan      nan (2292)
186 17   Trinity, Ill.             0    0    0    0      nan      nan (2291)
187 17   Utah                      0    0    0    0      nan      nan (2290)
188 17   W. Carolina               0    0    0    0      nan      nan (2289)
189 17   Wabash                    0    0    0    0      nan      nan (2288)
190 17   Wake Forest               0    0    0    0      nan      nan (2287)
191 17   William Jewell            0    0    0    0      nan      nan (2286)
192 17   Wis.-Eau Claire           0    0    0    0      nan      nan (2285)
193 18   Cornell, Iowa             0    0    0    0      nan      nan (2284)
194 18   Kentucky St.              0    0    0    0      nan      nan (2283)
195 18   New Mexico                0    0    0    0      nan      nan (2282)
196 18   St. Anselm                0    0    0    0      nan      nan (2281)
197 19   Appalachian St.           0    0    0    0      nan      nan (2280)
198 19   Arkansas St.              0    0    0    0      nan      nan (2279)
199 19   Canisius                  0    0    0    0      nan      nan (2278)
200 19   Carthage                  0    0    0    0      nan      nan (2277)
201 19   Claremont-Mudd            0    0    0    0      nan      nan (2276)
202 19   Cortland St.              0    0    0    0      nan      nan (2275)
203 19   Delaware Val.             0    0    0    0      nan      nan (2274)
204 19   Evangel                   0    0    0    0      nan      nan (2273)
205 19   Gardner-Webb              0    0    0    0      nan      nan (2272)
206 19   Ithaca                    0    0    0    0      nan      nan (2271)
207 19   Lebanon Val.              0    0    0    0      nan      nan (2270)
208 19   Lenoir-Rhyne              0    0    0    0      nan      nan (2269)
209 19   Memphis                   0    0    0    0      nan      nan (2268)
210 19   Merrimack                 0    0    0    0      nan      nan (2267)
211 19   Murray St.                0    0    0    0      nan      nan (2266)
212 19   S. Dakota Mines           0    0    0    0      nan      nan (2265)
213 19   Sewanee                   0    0    0    0      nan      nan (2264)
214 19   Southern Miss.            0    0    0    0      nan      nan (2263)
215 19   W. Michigan               0    0    0    0      nan      nan (2262)
216 19   W. New England            0    0    0    0      nan      nan (2261)
217 19   W. Virginia Tech          0    0    0    0      nan      nan (2260)
218 19   Yale                      0    0    0    0      nan      nan (2259)
219 20   Alabama                   0    0    0    0      nan      nan (2258)
220 20   Alfred                    0    0    0    0      nan      nan (2257)
221 20   Bates                     0    0    0    0      nan      nan (2256)
222 20   Bethany,W.Va.             0    0    0    0      nan      nan (2255)
223 20   Bowling Green             0    0    0    0      nan      nan (2254)
224 20   Carnegie-Mellon           0    0    0    0      nan      nan (2253)
225 20   Catawba                   0    0    0    0      nan      nan (2252)
226 20   Cent. Arkansas            0    0    0    0      nan      nan (2251)
227 20   Centre                    0    0    0    0      nan      nan (2250)
228 20   Colgate                   0    0    0    0      nan      nan (2249)
229 20   Concordia, Ill.           0    0    0    0      nan      nan (2248)
230 20   Dakota Weslyn             0    0    0    0      nan      nan (2247)
231 20   Duke                      0    0    0    0      nan      nan (2246)
232 20   East Stroudsburg          0    0    0    0      nan      nan (2245)
233 20   Edinboro                  0    0    0    0      nan      nan (2244)
234 20   Fayetteville St.          0    0    0    0      nan      nan (2243)
235 20   Fort Lewis                0    0    0    0      nan      nan (2242)
236 20   Greenville                0    0    0    0      nan      nan (2241)
237 20   Grinnell                  0    0    0    0      nan      nan (2240)
238 20   Hamilton                  0    0    0    0      nan      nan (2239)
239 20   Hope                      0    0    0    0      nan      nan (2238)
240 20   Indianapolis              0    0    0    0      nan      nan (2237)
241 20   Kent                      0    0    0    0      nan      nan (2236)
242 20   LaVerne                   0    0    0    0      nan      nan (2235)
243 20   Lenoir-Rhyne              0    0    0    0      nan      nan (2234)
244 20   Linfield                  0    0    0    0      nan      nan (2233)
245 20   Macalester                0    0    0    0      nan      nan (2232)
246 20   Mars Hill                 0    0    0    0      nan      nan (2231)
247 20   McNeese St.               0    0    0    0      nan      nan (2230)
248 20   McPherson                 0    0    0    0      nan      nan (2229)
249 20   Minn.-Crookston           0    0    0    0      nan      nan (2228)
250 20   Mississippi Col.          0    0    0    0      nan      nan (2227)
251 20   Missouri Val.             0    0    0    0      nan      nan (2226)
252 20   Monmouth, N.J.            0    0    0    0      nan      nan (2225)
253 20   NewJersey-Trenton         0    0    0    0      nan      nan (2224)
254 20   North Texas               0    0    0    0      nan      nan (2223)
255 20   Princeton                 0    0    0    0      nan      nan (2222)
256 20   Randolph-Macon            0    0    0    0      nan      nan (2221)
257 20   Rensselaer                0    0    0    0      nan      nan (2220)
258 20   Siena                     0    0    0    0      nan      nan (2219)
259 20   St. Francis, Ill.         0    0    0    0      nan      nan (2218)
